Tipo de RESÍDUO - Toneladas;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;2019
DOMICILIAR;326387;292481;314108;313198;307805;284772;302068;295446;292653;316233;302574;332356;3680080
ENTULHO MECANIZADO;24343;21038;24972;27290;26278;14652;19440;20496;16979;15918;11188;11945;234540
RESIDUOS DE ECOPONTO;36532;36992;38227;40459;40148;28873;36623;38352;36974;42030;38401;34125;447735
DIVERSOS;17128;17363;19584;18609;18258;22252;19119;19711;26336;23936;24282;28839;255416
ESGOTO;7217;19335;17412;13491;19251;16131;20046;17582;17344;20299;16931;15946;200986
RESIDUOS DE PISCINAO;15317;14421;14850;18373;16362;16696;15999;16723;14182;16410;16483;13552;189367
RESIDUOS DE CORREGOS;6970;7003;11414;16388;18673;20900;21377;21668;19402;14215;24054;36291;218354
VARRICAO;6699;6260;7951;7762;6688;6517;7616;8714;7783;5716;5096;5061;81862
SELETIVA;7441;6524;6724;6483;6391;5799;6511;6415;6436;6877;6791;8062;80454
FEIRA LIVRE;5404;5010;5548;4693;5348;4415;6010;5281;5897;5850;5963;5906;65326
ENTULHO MANUAL;3634;3358;3782;3943;3787;2831;3261;3546;2886;2656;2253;2027;37964
PODA;3979;4103;4300;3973;4391;3812;3749;3872;3924;5108;4416;4143;49770
GG SAUDE;2722;2648;2792;2886;2973;2758;2861;2861;2751;2907;2710;2649;33517
REJEITO-CMT CMJ;1232;982;978;1022;1081;865;1056;1060;1022;1083;1161;1442;12982
RESIDUOS DE BOCA DE LOBO;995;581;1093;1218;947;1181;2514;2906;1982;1695;1432;1263;17807
PG SAUDE;697;719;757;780;838;705;811;831;748;800;739;702;9128
MADEIRA;0;0;0;0;0;0;52;2850;2007;2352;2287;2544;12093
ANIMAIS;4;3;6;2;1;2;2;2;1;0;2;1;25
VARRICAO MECANIZADA;10;28;19;0;74,1;180;0;0;15;121;419;269;1135
ALIM VENCIDOS;0;0;0;1;0;0;0;0;0;0;0;0;1
MATERIAL APREENDIDO;0;0;0;0;0;0;0;0;0;0;3;0;3
RESIDUO DE ACUMULADOR;0;0;0;0;0;0;0;0;67;44;35;41;188
RESIDUO DE DESFAZIMENTO;0;0;0;0;0;0;0;0;53;3;21;0;77
Total geral;466713;438849;474520;480571;479302;433342;469116;468325;459441;484437;467288;507177;5629080
