Tipo de RESÍDUO - Toneladas;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
DOMICILIAR;317183;301322;317174;276684;276721;303261;303903;297064;300749;304548;288071;332637
ENTULHO MECANIZADO;11783;10175;12628;11080;10858;12920;12996;9697;8713;9254;7883;7443
RESIDUOS DE ECOPONTO;32876;34225;36639;29838;28588;29419;33996;29855;31316;31237;25779;27760
DIVERSOS;34419;34304;38879;34545;33554;35958;34066;27748;28413;28761;27706;29169
ESGOTO;16050;14110;18095;17825;19127;17875;22443;18649;23443;18184;12851;14864
RESIDUOS DE CORREGOS;17766;8768;19418;19156;17993;20414;19061;18753;22086;22900;32003;38609
SELETIVA;8425;7271;8039;8058;7459;7894;7986;7689;7811;7930;7283;8620
FEIRA LIVRE;6562;7013;7180;6200;6578;7144;6561;5951;5645;5859;5277;5836
ENTULHO MANUAL;1249;1539;1933;1682;1896;2323;2957;2699;2653;3029;1465;1380
PODA;5236;5139;5959;5320;4532;5679;6123;5126;5078;5051;5446;6174
GG SAUDE;2711;2589;2727;2488;3017;3292;3476;3395;3251;3308;3281;3334
REJEITO-CMT CMJ;1629;1390;1175;1662;1380;1719;1886;1525;1688;1619;1248;1641
PG SAUDE;729;691;734;540;597;710;823;803;824;861;806;837
REMOCAO RESIDUOS DESCARTADOS;0;0;0;0;0;0;0;0;0;0;0;0
RESIDUOS PATIO COMPOSTAGEM;0;0;0;0;0;0;0;0;0;0;0;0
ENTULHO APREENDIDO;10;8;15;;12;0;0;0;0;0;10;0
MADEIRA;2868;3152;2939;1871;2302;3953;4745;5243;5137;5122;5404;6389
ANIMAIS;2;1;3;3;2;1;1;3;1;1;2;2
VARRICAO MECANIZADA;452;518;350;413;377;511;460;554;442;554;529;493
ALIM VENCIDOS;0;0;0;0;0;0;0;0;0;0;0;0
MATERIAL APREENDIDO;0;0;0;0;0;0;0;0;0;0;353;322
RESIDUO DE ACUMULADOR;29;1;11;;4;2;61;52;65;24;;14
RESIDUO DE DESFAZIMENTO;0;0;0;0;0;61;47;394;40;18;104;17
RESIDUO ECOPONTO - ENTULHO;5466;1056;1005;2829;2931;9486;11066;10261;8640;9572;10718;9182
RESIDUOS DE ECOPONTO - DIVERSOS;0;0;0;0;0;0;0;1244;3;196;137;120
Total geral;484276;460635;498195;442344;438957;487207;500790;469325;479258;482262;457690;518438
